aha_id,mstate,mcrnum,year,national_network,vendor_network,hio,tefca_part,tefca_plan
6221260,NJ,310091,2023,0,0,1,0,0
6221340,NJ,310048,2025,1,1,1,1,0
6221345,NJ,310086,2023,1,1,1,1,0
6221370,NJ,310051,2025,1,0,1,0,1
6221390,NJ,310008,2025,0,0,1,0,1
6221395,NJ,310041,2025,1,1,1,1,0
6221430,NJ,310044,2025,1,1,1,0,1
6221480,NJ,310021,2022,1,1,1,0,1
6221490,NJ,310110,2025,1,1,1,1,0
6221500,NJ,310092,2025,1,1,1,0,1
6221618,NJ,310130,2025,1,1,1,1,0
6230010,PA,390231,2023,1,1,1,1,0
6230013,PA,390133,2025,1,1,1,1,0
6230019,PA,390066,2025,1,1,1,1,0
6230022,PA,390226,2025,1,1,1,1,0
6230023,PA,390091,2025,1,1,1,0,1
6230024,PA,390178,2025,1,1,1,0,1
6230029,PA,390164,2025,1,1,1,0,1
6230039,PA,390067,2023,1,1,1,0,1
6230041,PA,390050,2025,1,1,1,1,0
6230043,PA,390174,2023,1,1,1,1,0
6230049,PA,390049,2023,1,1,0,0,1
6230051,PA,390096,2025,1,0,1,0,1
6230052,PA,390110,2025,1,1,0,0,0
6230054,PA,390115,2023,1,1,1,1,0
6230086,PA,390073,2025,1,1,1,0,1
6230170,PA,390003,2025,1,1,1,0,1
6230205,PA,390070,2025,0,0,1,0,1
6230260,PA,390139,2025,1,1,1,1,0
6230297,PA,390004,2025,1,0,1,0,1
6230310,PA,390160,2025,1,1,1,1,0
6230340,PA,390058,2023,1,1,1,0,1
6230360,PA,390151,2025,1,1,1,1,0
6230440,PA,390183,2023,1,1,0,0,1
6230456,PA,390326,2025,1,1,0,1,0
6230515,PA,390329,2023,1,0,1,0,1
6230517,PA,390328,2025,1,1,1,0,1
6230522,PA,391313,2025,0,0,0,0,0
6230550,PA,390006,2025,1,1,1,0,1
6230552,PA,390330,2023,1,1,0,0,1
6230555,PA,390156,2023,1,0,1,0,0
6230563,PA,390332,2023,1,1,0,0,1
6230589,PA,390333,2025,0,1,0,0,0
6230590,PA,390203,2023,0,0,1,0,0
6230599,PA,390339,2025,1,0,1,0,1
6230601,PA,390336,2025,1,0,1,0,1
6230602,PA,390334,2025,1,1,1,1,0
6230606,PA,390337,2025,1,1,1,0,1
6230615,PA,390086,2023,0,0,0,0,0
6230680,PA,390201,2025,1,1,1,1,0
6230705,PA,390256,2025,1,0,1,0,1
6230745,PA,390225,2025,1,1,1,1,0
6230760,PA,390063,2025,1,1,1,0,1
6230780,PA,390009,2025,1,1,1,1,0
6230805,PA,390117,2025,1,1,1,0,1
6230820,PA,390065,2025,1,1,1,1,0
6230855,PA,390266,2025,1,1,1,1,0
6230880,PA,390233,2023,1,1,1,0,1
6230950,PA,390185,2025,1,1,1,1,0
6230979,PA,390265,2025,1,1,1,1,0
6230990,PA,390125,2024,0,0,1,0,0
6231010,PA,390173,2023,1,0,0,0,0
6231020,PA,391300,2025,1,1,1,0,1
6231070,PA,391318,2025,1,0,1,1,0
6231100,PA,390163,2025,0,0,1,0,0
6231120,PA,390100,2025,1,1,1,1,0
6231130,PA,390258,2024,0,1,1,0,1
6231150,PA,390012,2023,1,1,1,1,0
6231210,PA,390013,2025,1,1,1,1,0
6231240,PA,390048,2025,1,1,1,0,1
6231330,PA,390002,2025,1,1,1,0,1
6231335,PA,390113,2023,1,0,1,0,0
6231345,PA,390097,2022,1,0,1,0,1
6231375,PA,390222,2025,1,1,1,1,0
6231415,PA,391302,2025,1,1,0,0,0
6231460,PA,391306,2025,0,0,1,0,0
6231480,PA,391301,2025,1,1,1,0,1
6231510,PA,390016,2025,1,1,1,0,1
6231583,PA,390116,2025,0,0,1,0,1
6231634,PA,390142,2023,1,0,1,0,1
6231730,PA,393303,2025,1,1,1,0,1
